Packet 38: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 39: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 40: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 41: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 42: 0.0.0.0 -> 0.0.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 33:33:00:00:00:01, Protocol: 128 238.169.64.255
Packet 43: 0.0.0.0 -> 0.0.0.0, Src MAC: 98:F7:81:F8:8E:6F, Dst MAC: FF:FF:FF:FF:FF:FF, Protocol: 0 0.0.0.0
Packet 44: 0.0.0.0 -> 0.0.0.0, Src MAC: 34:02:86:18:94:85, Dst MAC: 33:33:00:00:00:16, Protocol: 128 130.231.218.71
Packet 45: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 46: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 47: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 48: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 49: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 50: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 51: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 52: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 53: 0.0.0.0 -> 0.0.0.0, Src MAC: 34:02:86:18:94:85, Dst MAC: 33:33:00:00:00:16, Protocol: 128 130.231.218.71
Packet 54: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 55: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 56: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 57: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 58: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 59: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 60: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 61: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 62: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 63: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 64: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 65: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 66: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 67: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 68: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 69: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
